id,product_id,title,price,total_sales,monthly_sales,weekly_sales,daily_sales_tag,hot_sales,grabbed_sales,daily_increment,product_url,monitor_date,scrape_time
567,758150701089,沁园净水器10T大通量25微米全屋净水前置过滤器家用净水机滤水器,379.0,,,,30,,,,https://mobile.yangkeduo.com/goods.html?goods_id=758150701089,2026-04-08,2026-04-08 16:19:58
568,711881031979,海尔净水器家用厨下式直饮净水机RO反渗透套装纯水机自来水过滤器,846.0,,,,30,,,,https://mobile.yangkeduo.com/goods.html?goods_id=711881031979,2026-04-08,2026-04-08 16:19:58
569,824870103252,海尔新款净水器前置全屋过滤家用实时自动清洗15T抑菌水压监测,445.0,,,,40,,,,https://mobile.yangkeduo.com/goods.html?goods_id=824870103252,2026-04-08,2026-04-08 16:19:58
570,726880345881,海尔全屋前置过滤器家用智能全自动定时反冲洗净水机自来水净水器,619.0,,,,30,,,,https://mobile.yangkeduo.com/goods.html?goods_id=726880345881,2026-04-08,2026-04-08 16:19:58
572,786620855421,美的净水器入户水管前置过滤器15T大通量自动清洗防冻防爆家庭用,316.0,,,,40,,,,https://mobile.yangkeduo.com/goods.html?goods_id=786620855421,2026-04-08,2026-04-08 16:19:58
573,795204016964,米家前置过滤器 PRO 定时自动冲洗360°旋流反冲洗,559.9,,,100,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=795204016964,2026-04-08,2026-04-08 16:19:58
574,877777336711,海尔净水器1200G家用RO膜反渗透直饮鲜活水厨下净水机单出水,855.0,,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=877777336711,2026-04-08,2026-04-08 16:19:58
575,802032083576,海尔管线机家用加热饮水机净水器伴侣温热款六档水温炫彩触屏,645.0,,,100,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=802032083576,2026-04-08,2026-04-08 16:19:58
578,724524723845,小米米家净水器1200G家用套装直饮RO反渗透水龙头过滤器纯净水机,969.0,,363,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=724524723845,2026-04-08,2026-04-08 16:19:58
579,5085107966,美的家用净水器直饮机厨下RO反渗透纯水机零陈水净水机,928.0,,,100,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=5085107966,2026-04-08,2026-04-08 16:19:58
580,868851073714,VIOMI云米小海豚3 厨下净水器5年长效 600G RO反渗透纯水机,498.9,,,,30,,,,https://mobile.yangkeduo.com/goods.html?goods_id=868851073714,2026-04-08,2026-04-08 16:19:58
581,785356830165,海尔1200G鲜活水抑菌芯家用净水器厨下式大通量RO反渗透母婴直饮,1177.0,,,100,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=785356830165,2026-04-08,2026-04-08 16:19:58
582,915797572693,VIOMI云米净水器小海豚600G+升级版厨下式 RO 反渗透直饮家用,599.0,,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=915797572693,2026-04-08,2026-04-08 16:19:58
583,882364625777,美的净水器同比1200G大流速母婴直饮双出水厨下反渗透净水器,874.0,,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=882364625777,2026-04-08,2026-04-08 16:19:58
584,388814911412,美的净水器家用厨下式RO反渗透双出水直饮机0陈水星河1000G大通量,1389.0,,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=388814911412,2026-04-08,2026-04-08 16:19:58
585,265149114182,美的家用净水器1200G PRO 6年长效RO 直饮净水器厨下式鲜活零陈水,2659.0,,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=265149114182,2026-04-08,2026-04-08 16:19:58
586,347579110147,美的星河净水器反渗透陶氏杜邦RO膜过滤制冷管线机套装四维杀菌,2688.0,,348,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=347579110147,2026-04-08,2026-04-08 16:19:58
587,906998197299,海尔鲜活水3.0抑菌净水器直饮过滤器净水器套装RO反渗透家用,1179.0,,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=906998197299,2026-04-08,2026-04-08 16:19:58
588,131363133209,海尔前置过滤器全屋自来水净水器家用反冲洗超15T/H通量中央净水,287.0,,,,100,,,,https://mobile.yangkeduo.com/goods.html?goods_id=131363133209,2026-04-08,2026-04-08 16:19:58
589,613380551821,安吉尔前置过滤器净水器家用反冲洗自来水全屋大流量中央过滤防爆,358.0,,569,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=613380551821,2026-04-08,2026-04-08 16:19:58
590,209020621849,美的净水器反渗透全屋保护前置过滤器套装家用双出水厨下式2026年,809.0,,,200,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=209020621849,2026-04-08,2026-04-08 16:19:58
591,872010839953,美的前置过滤器家用超15T顶配高压自动清洗抑制水垢全屋净水星河,459.9,,202,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=872010839953,2026-04-08,2026-04-08 16:19:58
592,758048463055,沁园前置过滤器净水器智能全自动10T大通量25微米全屋家用净水机,593.0,,,,40,,,,https://mobile.yangkeduo.com/goods.html?goods_id=758048463055,2026-04-08,2026-04-08 16:19:58
593,251362109724,美的管线机壁挂式即热即饮管线机正品多档定量取水WIFI智能调温,1093.0,,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=251362109724,2026-04-08,2026-04-08 16:19:58
