日期,主体ID,主体类型,主体名称,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额,自然流量转化金额,自然流量曝光量,平台助推总成交,平台助推直接成交,平台助推点击
2025-09-16,917091926716,商品,云米昆仑4矿泉制冰净水器制冷即热冰块一体直饮水家用台式净饮机,1303,31,100.00,0.02379,3.23,76.75,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,1,1,0,0.03226,2,0,,3,33.33,3,33.33,2,50.00,0.06452,100.00,0,0.00,1,1,0,0,0.00,2,60,28,20,0.71429,0,0,0.04605,26,2,0,,0,0.00,0,0,,,0.00,45,0.00,0.00,0
2025-09-16,913043253833,商品,云米大黑翼24m?油烟机大吸力顶侧三吸吸油烟家用抽油烟机自清洁,5101,35,11.31,0.00686,0.32,2.22,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,349,71,67,0.94366,0,0,0.06842,4,5,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-16,902116631708,商品,云米矿泉台式净饮机即热式饮水机直饮家用矿化加热一体机净水器,5133,88,290.65,0.01714,3.30,56.62,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,5,4,1,0.05682,0,0,,5,58.13,5,58.13,0,,0,58.13,0,0.00,0,0,0,0,0.00,3,180,80,70,0.875,0,0,0.03507,64,2,0,,0,0.00,0,0,,,0.00,327,0.00,0.00,0
2025-09-16,884624431355,商品,云米智能门锁家用密码锁指纹锁电子门锁防盗门正品官方旗舰店正品,5966,92,164.57,0.01542,1.79,27.58,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,11,11,0,0.11957,5,0,,16,10.29,16,10.29,5,32.91,0.05435,14.96,0,0.00,5,0,0,0,0.00,5,195,83,53,0.63855,0,0,0.03269,82,2,0,,0,0.00,0,0,,,0.00,79,0.00,0.00,0
2025-09-16,876096115017,商品,云米智能门锁猫眼可视指纹锁防盗门家用密码锁蓝调2a pro电子锁,4627,90,287.05,0.01945,3.19,62.04,0.00,0,0.00,0,0.00,0,0.00,3297.00,3297.00,5,0,5,0.05556,11.49,57.41,9,5,4,0.1,8,0,,17,16.89,17,16.89,8,35.88,0.08889,31.89,6,4897.00,8,0,0,0,0.00,6,188,84,76,0.90476,0,0,0.04063,87,2,2,1,1,2298.00,4,2,3,1648.50,116.21,1166,0.00,0.00,0
2025-09-16,867339045616,商品,云米智能马桶零压冲水脚踢感应翻盖泡沫盾小鲸鱼2pro官方旗舰店,1579,28,94.50,0.01773,3.38,59.85,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,39,27,26,0.96296,0,0,0.0247,8,1,0,,0,0.00,0,0,,,0.00,6,0.00,0.00,0
2025-09-16,859596092874,商品,云米智能门锁3D人脸智能门锁电子指纹锁家用防盗密码锁蓝调2a pro,6884,185,434.03,0.02687,2.35,63.05,0.00,0,0.00,0,0.00,0,899.00,0.00,899.00,1,1,0,0.00541,2.07,434.03,10,7,3,0.05405,8,1,434.03,19,22.84,18,24.11,9,54.25,0.04324,43.40,6,9594.00,7,1,0,0,0.00,2,399,208,188,0.90385,0,0,0.05796,117,2,1,1,0,0.00,0,1,1,899.00,0.00,649,0.00,0.00,0
2025-09-16,839274619649,商品,云米昆仑3Pro矿泉即热净水器1000G鲜热净饮机母婴直饮RO膜反渗透,1611,32,53.76,0.01986,1.68,33.37,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,1,0,,1,53.76,1,53.76,1,53.76,0.03125,,0,0.00,1,0,0,0,0.00,0,83,32,28,0.875,0,0,0.05152,8,3,0,,0,0.00,0,0,,,0.00,75,0.00,0.00,0
2025-09-16,837518155964,商品,[1.11洗净比]云米洗衣机滚筒家用全自动超薄10kg大容量[除菌除螨],7,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-16,831641379841,商品,云米昆仑Super 2E 1000G矿泉净水器RO膜厨房自来水过滤器矿物质,4978,39,87.05,0.00783,2.23,17.49,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,2,2,0,0.05128,1,0,,3,29.02,3,29.02,1,87.05,0.02564,43.53,0,0.00,1,0,0,0,0.00,0,57,31,28,0.90323,0,0,0.01145,4,2,0,,0,0.00,0,0,,,941.34,466,0.00,0.00,0
